id,minter,collection,token_id
1,0x13930acAd085064bF6Fb5c299812228002E3B604,0xd06AEf176032C9c7ec6301B110875422A0a6330b,1
2,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,1
3,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,1
4,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,2
5,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x7ACADAEd819Dfa027f697b21c809F2d18EcEA341,1
6,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,2
7,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x7ACADAEd819Dfa027f697b21c809F2d18EcEA341,2
8,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x0b837aE5Ba2FB835eb6F064EE566b71A1A120641,1
9,0xC0EC738565f14f4237219fb9833555792d47D3ad,0xB9BE85E8B6591666FB01a3D8a9cD3c38231bEAFc,1
10,0x3098C580C90839FDDf44B12393421135EE13B959,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,3
11,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x7ACADAEd819Dfa027f697b21c809F2d18EcEA341,3
12,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x7ACADAEd819Dfa027f697b21c809F2d18EcEA341,4
13,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x0b837aE5Ba2FB835eb6F064EE566b71A1A120641,2
14,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x0b837aE5Ba2FB835eb6F064EE566b71A1A120641,3
15,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x0b837aE5Ba2FB835eb6F064EE566b71A1A120641,4
16,0x4528ce7Fa57e621e9ADc382346aA778151124b78,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,3
17,0x4528ce7Fa57e621e9ADc382346aA778151124b78,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,4
18,0x4528ce7Fa57e621e9ADc382346aA778151124b78,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,4
19,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,5
20,0x9fA0e2933f9536e133F384F5D66Ae592a7770777,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,5
21,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,6
22,0x13930acAd085064bF6Fb5c299812228002E3B604,0xd06AEf176032C9c7ec6301B110875422A0a6330b,2
23,0x13930acAd085064bF6Fb5c299812228002E3B604,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,7
24,0x13930acAd085064bF6Fb5c299812228002E3B604,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,8
25,0x13930acAd085064bF6Fb5c299812228002E3B604,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,9
26,0x13930acAd085064bF6Fb5c299812228002E3B604,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,10
27,0x13930acAd085064bF6Fb5c299812228002E3B604,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,6
28,0xA22f76CDc26d58618c13105C820d23dCD8395014,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,11
29,0x9fA0e2933f9536e133F384F5D66Ae592a7770777,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,7
30,0x9c4781aA4fcE3209d0cc23CaE1A0c5D682B21FE5,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,12
31,0x3098C580C90839FDDf44B12393421135EE13B959,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,13
32,0xac6ED3a645D7dFFeC04a57bd11D1257F2cD25a76,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,14
33,0x9e9b217165f57828CEA4Cc581105e8F7Ffe36d8c,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,15
34,0x472B9822e98f360CAa38A711B85B4eEa962fB0d4,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,8
35,0x13930acAd085064bF6Fb5c299812228002E3B604,0xd06AEf176032C9c7ec6301B110875422A0a6330b,3
36,0xA22f76CDc26d58618c13105C820d23dCD8395014,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,9
37,0xC0EC738565f14f4237219fb9833555792d47D3ad,0x8bEd8c06F480FB404725193f5Cd22f2196C7f50e,1
38,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,16
39,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,10
40,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,17
41,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,11
42,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,12
43,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,13
44,0x28dF311388c70496f9f3EE2D15745e8d1540636d,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,18
45,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,14
46,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,15
47,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,19
48,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,20
49,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,16
50,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,21
51,0xcF20FFc5Bd50798fe2f0BFa794eb5f1542619f8C,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,22
52,0x9fA0e2933f9536e133F384F5D66Ae592a7770777,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,23
53,0x18e66F20b06e14FCa57B4f9Ee065E336166A3749,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,24
54,0xa20b8cA2a65E33D61CF063a5661bfc7480A06385,0x6Dc44C851B555B27948E6c405DB9D96CAAb9b611,1
55,0x23384681a56569Deb46fCbE25880cC917Fa37c54,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,17
56,0xd38619769da06857c48c3D38ACd45e6a5590A25E,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,18
57,0xf96652a5e9570AABB7d2C8913cC8e5557BCA8318,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,19
58,0xEfb90629166B74A397b9a02a4A4bebB2b10fBF45,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,25
59,0xf96652a5e9570AABB7d2C8913cC8e5557BCA8318,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,20
60,0xd38619769da06857c48c3D38ACd45e6a5590A25E,0x0C0Aa7FbCEAbe2099419e67C0F06a6492C81DFf7,1
61,0xD2E5980a193B20c11Bb5098ba82b91d9653741eA,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,26
62,0xBF1d24FDAbb5b07F6fAf61e0fA90ff6493e12DBD,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,27
63,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,28
64,0xd38619769da06857c48c3D38ACd45e6a5590A25E,0x0C0Aa7FbCEAbe2099419e67C0F06a6492C81DFf7,2
65,0x9e9b217165f57828CEA4Cc581105e8F7Ffe36d8c,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,29
66,0xAFC87B3D801119dee44ededb1e86fAaD914f8D4b,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,30
67,0x88DE007a10296e9eC9d07480c9760E36E10ca0a9,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,21
68,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,22
69,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,31
70,0xEA998B08dc2C8a647F77ddD7AfC2087F42006566,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,32
71,0x9e9b217165f57828CEA4Cc581105e8F7Ffe36d8c,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,33
72,0x4528ce7Fa57e621e9ADc382346aA778151124b78,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,34
73,0xBc5FD131d131d6B466E0866390e946cF554d41CD,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,35
74,0xBc5FD131d131d6B466E0866390e946cF554d41CD,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,23
75,0xBc5FD131d131d6B466E0866390e946cF554d41CD,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,24
76,0xBc5FD131d131d6B466E0866390e946cF554d41CD,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,25
77,0xC0EC738565f14f4237219fb9833555792d47D3ad,0x8bEd8c06F480FB404725193f5Cd22f2196C7f50e,2
78,0xBc5FD131d131d6B466E0866390e946cF554d41CD,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,36
79,0xBc5FD131d131d6B466E0866390e946cF554d41CD,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,37
80,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,38
81,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,26
82,0x5a64a09b26d5588229e2b1F83Ee1526884DcAC35,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,39
83,0xf2b7D6A0d3360faF19b99191317bB610f57116b6,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,40
84,0xf96652a5e9570AABB7d2C8913cC8e5557BCA8318,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,27
85,0xf96652a5e9570AABB7d2C8913cC8e5557BCA8318,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,28
86,0x88DE007a10296e9eC9d07480c9760E36E10ca0a9,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,41
87,0x88DE007a10296e9eC9d07480c9760E36E10ca0a9,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,29
88,0xf96652a5e9570AABB7d2C8913cC8e5557BCA8318,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,30
89,0x6cA0867bd9091f256677bC962A87e9B2d6046402,0xaed565AABA17BC8F36eaAb586b2F67C250C09051,1
90,0x6cA0867bd9091f256677bC962A87e9B2d6046402,0xaed565AABA17BC8F36eaAb586b2F67C250C09051,2
91,0x6cA0867bd9091f256677bC962A87e9B2d6046402,0x45375C01F203B4e2c4fF6553758fC41E8d398302,1
92,0x88DE007a10296e9eC9d07480c9760E36E10ca0a9,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,42
93,0xe8d53E3afB479C94aa1dEc9Ec6884c256619F23f,0xd7892B54A58A9e056B1C545Ab7AF9A7A4dFF1C77,1
94,0x07BC11f062DA18689764Df46a7f1212327014ca0,0x8CF8B9d3dDc379F1584deE80Ddc6D8495C2E4710,1
95,0x23384681a56569Deb46fCbE25880cC917Fa37c54,0x9AB56134F1e84FD13cf969dF4F2a8694381544a1,43
96,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,31
97,0xf1f12A06Ca57BFb6f8d2b075577a6d138f1d70e8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,32
98,0x6cA0867bd9091f256677bC962A87e9B2d6046402,0x45375C01F203B4e2c4fF6553758fC41E8d398302,2
99,0x6B5751abAa8633e42ABFC45a8eeB9EB93e671040,0x3ea088446f5BCe8A844a668028Af5eB6079Ae3a8,1
100,0x6B5751abAa8633e42ABFC45a8eeB9EB93e671040,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,33
101,0x9FD2beb5A95Adac121096b463b734801c3bf6ec8,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,34
102,0xB03Ce47f1D24CE5B7acFECE075b8f64eC4A54695,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,35
103,0x07BC11f062DA18689764Df46a7f1212327014ca0,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,36
104,0x07BC11f062DA18689764Df46a7f1212327014ca0,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,37
105,0x5B75861A8D9187cEb0559F0e743e31D204415dD9,0x33c2C043529D1AAdd883076Ecef2f163a2A9007b,38
